01-02-2026	PUR_0176		Ilhan veggies	185.00	0.00	185.00	0.00	Paid	Abisamad noor
01-02-2026	PUR_0175		Ilhan veggies	16.00	0.00	16.00	0.00	Paid	Abisamad noor
31-01-2026	PUR_0174		Farah Abdullahi (Fish)	33.60	0.00	33.60	0.00	Paid	Abisamad noor
01-02-2026	PUR_0173		Ilhan veggies	149.58	0.00	149.58	0.00	Paid	Abisamad noor
31-01-2026	PUR_0172		Ilhan veggies	81.30	0.00	81.30	0.00	Paid	Abisamad noor
31-01-2026	PUR_0171		Mumtaz group	90.00	0.00	90.00	0.00	Paid	Abisamad noor
31-01-2026	PUR_0170		Cheese and Chicken	270.00	0.00	270.00	0.00	Paid	Abisamad noor
30-01-2026	PUR_0169		gaxsan supermarket	16.00	0.00	16.00	0.00	Paid	Abisamad noor
30-01-2026	PUR_0168		Ilhan veggies	114.73	0.00	114.73	0.00	Paid	Abisamad noor
30-01-2026	PUR_0167		Cheese and Chicken	70.00	0.00	70.00	0.00	Paid	Abisamad noor
29-01-2026	PUR_0166		Mursal (camel meat)	73.50	0.00	73.50	0.00	Paid	Abisamad noor
29-01-2026	PUR_0165		Mursal (camel meat)	86.50	0.00	86.50	0.00	Paid	Abisamad noor
29-01-2026	PUR_0164		Dahabshil (camel milk ) back up	11.00	0.00	11.00	0.00	Paid	Abisamad noor
29-01-2026	PUR_0163		Abdi Osman Barre (Camel Milk)	50.00	0.00	50.00	0.00	Paid	Abisamad noor
29-01-2026	PUR_0162		Abdi Osman Barre (Camel Milk)	34.00	0.00	34.00	0.00	Paid	Abisamad noor
29-01-2026	PUR_0161		Ilhan veggies	104.15	0.00	104.15	0.00	Paid	Abisamad noor
29-01-2026	PUR_0160		gaxsan supermarket	16.00	0.00	16.00	0.00	Paid	Abisamad noor
29-01-2026	PUR_0159		gaxsan supermarket	12.00	0.00	12.00	0.00	Paid	Abisamad noor
29-01-2026	PUR_0158		Cheese and Chicken	70.00	0.00	70.00	0.00	Paid	Abisamad noor
28-01-2026	PUR_0157		Cheese and Chicken	70.00	0.00	70.00	0.00	Paid	Abisamad noor
29-01-2026	PUR_0156		Ali Saleban (Alhamdu) Safina Tea Leaves	125.00	0.00	125.00	0.00	Paid	Abisamad noor
28-01-2026	PUR_0155		Dahabshil (camel milk ) back up	27.50	0.00	27.50	0.00	Paid	Abisamad noor
28-01-2026	PUR_0154		Ilhan veggies	37.00	0.00	37.00	0.00	Paid	Abisamad noor
28-01-2026	PUR_0153		Farah Abdullahi (Fish)	152.00	0.00	152.00	0.00	Paid	Abisamad noor
28-01-2026	PUR_0152		Farah Abdullahi (Fish)	42.00	0.00	42.00	0.00	Paid	Abisamad noor
27-01-2026	PUR_0151		farxan (fish vendor)	19.50	0.00	19.50	0.00	Paid	Abisamad noor
26-01-2026	PUR_0150		Farah Abdullahi (Fish)	22.00	0.00	22.00	0.00	Paid	Abisamad noor
27-01-2026	PUR_0149		gaxsan supermarket	7.00	0.00	7.00	0.00	Paid	Abisamad noor
27-01-2026	PUR_0148		gaxsan supermarket	15.00	0.00	15.00	0.00	Paid	Abisamad noor
27-01-2026	PUR_0147		gaxsan supermarket	10.00	0.00	10.00	0.00	Paid	Abisamad noor
27-01-2026	PUR_0146		Mursal (camel meat)	48.00	0.00	48.00	0.00	Paid	Abisamad noor
27-01-2026	PUR_0145		Abdi Osman Barre (Camel Milk)	36.00	0.00	36.00	0.00	Paid	Abisamad noor
27-01-2026	PUR_0144		Ilhan veggies	69.30	0.00	69.30	0.00	Paid	Abisamad noor
26-01-2026	PUR_0143		Ilhan veggies	78.40	0.00	78.40	0.00	Paid	Abisamad noor
26-01-2026	PUR_0142		Mursal (camel meat)	78.50	0.00	78.50	0.00	Paid	Abisamad noor
25-01-2026	PUR_0141		Mursal (camel meat)	40.00	0.00	40.00	0.00	Paid	Abisamad noor
26-01-2026	PUR_0140		Abdi Osman Barre (Camel Milk)	36.00	0.00	36.00	0.00	Paid	Abisamad noor
25-01-2026	PUR_0139		Ilhan veggies	272.70	0.00	272.70	0.00	Paid	Abisamad noor
25-01-2026	PUR_0138		Farah Abdullahi (Fish)	120.00	0.00	120.00	0.00	Paid	Abisamad noor
25-01-2026	PUR_0137		Kismayo Hypermarket	4.50	0.00	4.50	0.00	Paid	Abisamad noor
24-01-2026	PUR_0136		Ilhan veggies	116.25	0.00	116.25	0.00	Paid	Abisamad noor
24-01-2026	PUR_0135		Muse (goat meat)	79.00	0.00	79.00	0.00	Paid	Abisamad noor
24-01-2026	PUR_0134		Mumtaz group	971.50	0.00	971.50	0.00	Paid	Abisamad noor
23-01-2026	PUR_0133		Abdi Osman Barre (Camel Milk)	36.00	0.00	36.00	0.00	Paid	Abisamad noor
23-01-2026	PUR_0132		Farah Abdullahi (Fish)	27.50	0.00	27.50	0.00	Paid	Abisamad noor
24-01-2026	PUR_0131		Ilhan veggies	118.95	0.00	118.95	0.00	Paid	Abisamad noor
23-01-2026	PUR_0130		Abdi Osman Barre (Camel Milk)	28.00	0.00	28.00	0.00	Paid	Abisamad noor
22-01-2026	PUR_0129		Mursal (camel meat)	24.75	0.00	24.75	0.00	Paid	Abisamad noor
22-01-2026	PUR_0128		Mursal (camel meat)	48.00	0.00	48.00	0.00	Paid	Abisamad noor
22-01-2026	PUR_0127		Abdi Osman Barre (Camel Milk)	28.00	0.00	28.00	0.00	Paid	Abisamad noor
22-01-2026	PUR_0126		Kismayo Hypermarket	4.00	0.00	4.00	0.00	Paid	Abisamad noor
22-01-2026	PUR_0125		Kismayo Hypermarket	146.00	0.00	146.00	0.00	Paid	Abisamad noor
22-01-2026	PUR_0124		gaxsan supermarket	31.00	0.00	31.00	0.00	Paid	Abisamad noor
22-01-2026	PUR_0123		Ilhan veggies	74.35	0.00	74.35	0.00	Paid	Abisamad noor
20-01-2026	PUR_0122		Abdi Osman Barre (Camel Milk)	36.00	0.00	36.00	0.00	Paid	Abisamad noor
21-01-2026	PUR_0121		Abdi Osman Barre (Camel Milk)	36.00	0.00	36.00	0.00	Paid	Abisamad noor
21-01-2026	PUR_0120		Mursal (camel meat)	40.00	0.00	40.00	0.00	Paid	Abisamad noor
21-01-2026	PUR_0119		Mohamed Olow (Honey)	47.00	0.00	47.00	0.00	Paid	Abisamad noor
21-01-2026	PUR_0118		Ilhan veggies	132.55	0.00	132.55	0.00	Paid	Abisamad noor
20-01-2026	PUR_0117		Ilhan veggies	118.50	0.00	118.50	0.00	Paid	Abisamad noor
20-01-2026	PUR_0116		Ilhan veggies	109.10	0.00	0.00	109.10	Cancelled	Abisamad noor
20-01-2026	PUR_0115		Abdi Osman Barre (Camel Milk)	40.00	0.00	0.00	40.00	Cancelled	Abisamad noor
20-01-2026	PUR_0114		Mursal (camel meat)	72.75	0.00	72.75	0.00	Paid	Abisamad noor
19-01-2026	PUR_0113		Mursal (camel meat)	48.00	0.00	48.00	0.00	Paid	Abisamad noor
19-01-2026	PUR_0112		Farah Abdullahi (Fish)	105.75	0.00	105.75	0.00	Paid	Abisamad noor
20-01-2026	PUR_0111		Adan Mohamed Osman (Vegetable)	533.50	0.00	0.00	533.50	Requisition	Abisamad noor
19-01-2026	PUR_0110		Adan Mohamed Osman (Vegetable)	9.00	0.00	9.00	0.00	Paid	Abisamad noor
19-01-2026	PUR_0109		Ilhan veggies	177.25	0.00	177.25	0.00	Paid	Abisamad noor
18-01-2026	PUR_0108		Abdi Osman Barre (Camel Milk)	38.00	0.00	38.00	0.00	Paid	Abisamad noor
18-01-2026	PUR_0107		s weyne (fish vendor)	22.50	0.00	22.50	0.00	Paid	Abisamad noor
18-01-2026	PUR_0106		kusow (firewood)	290.00	0.00	290.00	0.00	Paid	Abisamad noor
18-01-2026	PUR_0105		Ilhan veggies	87.40	0.00	87.40	0.00	Paid	Abisamad noor
18-01-2026	PUR_0104		Farah Abdullahi (Fish)	152.50	0.00	152.50	0.00	Paid	Abisamad noor
18-01-2026	PUR_0103		Mursal (camel meat)	75.50	0.00	75.50	0.00	Paid	Abisamad noor
17-01-2026	PUR_0102		Ilhan veggies	4.50	0.00	4.50	0.00	Paid	Abisamad noor
17-01-2026	PUR_0101		Abdirahman Bandira (Tank Water)	0.00	0.00	0.00	0.00	Paid	Abisamad noor
17-01-2026	PUR_0100		Cheese and Chicken	266.00	0.00	266.00	0.00	Paid	Abisamad noor
17-01-2026	PUR_0099		Abdi Osman Barre (Camel Milk)	36.00	0.00	36.00	0.00	Paid	Abisamad noor
17-01-2026	PUR_0098		Abdi Osman Barre (Camel Milk)	36.00	0.00	36.00	0.00	Paid	Abisamad noor
17-01-2026	PUR_0097		Ilhan veggies	22.00	0.00	22.00	0.00	Paid	Abisamad noor
17-01-2026	PUR_0096		Mursal (camel meat)	40.00	0.00	40.00	0.00	Paid	Abisamad noor
17-01-2026	PUR_0095		Ilhan veggies	95.25	0.00	95.25	0.00	Paid	Abisamad noor
16-01-2026	PUR_0094		Muse (goat meat)	136.00	0.00	136.00	0.00	Paid	Abisamad noor
16-01-2026	PUR_0093		Ilhan veggies	252.89	0.00	252.89	0.00	Paid	Abisamad noor
15-01-2026	PUR_0092		Mursal (camel meat)	27.50	0.00	27.50	0.00	Paid	Abisamad noor
15-01-2026	PUR_0091		ice supplier	5.00	0.00	5.00	0.00	Paid	Abisamad noor
15-01-2026	PUR_0090		Ilhan veggies	5.00	0.00	5.00	0.00	Paid	Abisamad noor
15-01-2026	PUR_0089		Adan Mohamed Osman (Vegetable)	11.90	0.00	11.90	0.00	Paid	Abisamad noor
15-01-2026	PUR_0088		Ilhan veggies	23.80	0.00	23.80	0.00	Paid	Abisamad noor
15-01-2026	PUR_0087		Ilhan veggies	61.40	0.00	61.40	0.00	Paid	Abisamad noor
15-01-2026	PUR_0086		Abdi Osman Barre (Camel Milk)	42.00	0.00	42.00	0.00	Paid	Abisamad noor
15-01-2026	PUR_0085		Mursal (camel meat)	48.00	0.00	48.00	0.00	Paid	Abisamad noor
14-01-2026	PUR_0084		Ilhan veggies	9.00	0.00	0.00	9.00	Cancelled	Abisamad noor
14-01-2026	PUR_0083		Mursal (camel meat)	40.00	0.00	40.00	0.00	Paid	Abisamad noor
