0409	ice block		Ingredient	block	0	0%	No	Active
0408	Green peppers		Ingredient	kg	0	0%	No	Active
0407	Carrots		Ingredient	kg	0	0%	No	Active
0406	Banana ingredient		Ingredient	pcs	0	0%	No	Active
0405	Dates ingredient		Ingredient	gram	0	0%	No	Active
0404	watmelon juice		Juices	L	0	0%	No	Active
0403	Strawberry mojito ingredient		Ingredient	L	0	0%	No	Active
0402	lemon ingredient		Ingredient	pcs	0	0%	No	Active
0401	oranges		Ingredient	cartons	0	0%	No	Active
0400	tomato		Ingredient	kg	0	0%	No	Active
0399	Basmati rice		Ingredient	kg	0	0%	No	Active
0398	Green apple syrup		Boba Drinks	L	0	0%	No	Active
0397	Green apple poping boba		Boba Drinks	L	0	0%	No	Active
0396	Blueberry poping boba		Boba Drinks	L	0	0%	No	Active
0395	Mango syrup		Boba Drinks	L	0	0%	No	Active
0394	Mango poping boba		Boba Drinks	L	0	0%	No	Active
0393	Goat meat		Meat Based(salads)	kg	0	0%	No	Active
0392	Camel meat		Ingredient	kg	0	0%	No	Active
0391	Spinach		Ingredient	package	0	0%	No	Active
0390	Lettuce		Ingredient	pcs	0	0%	No	Active
0389	Oyster sauce		Ingredient	L	0	0%	No	Active
0388	Dania		Ingredient	package	0	0%	No	Active
0387	Semolina		Ingredient	package	0	0%	No	Active
0386	Grapes		Ingredient	package	0	0%	No	Active
0385	Banana		Ingredient	pcs	0	0%	No	Active
0384	Mayo		Ingredient	gram	0	0%	No	Active
0383	Glycerine		Ingredient	package	0	0%	No	Active
0382	Cling film		Service	package	0	0%	No	Active
0381	Alminium foil		Ingredient	package	0	0%	No	Active
0380	Toothpicks		Service	pcs	0	0%	No	Active
0379	Tank water		Water	L	0	0%	No	Active
0378	Bottled water		Water	L	0	0%	No	Active
0377	Printing papers		Service	package	0	0%	No	Active
0376	Ice cubes		Service	pcs	0	0%	No	Active
0375	Bluecaracao		Mojitos	L	0	0%	No	Active
0374	Blueberry mojito		Mojitos	L	0	0%	No	Active
0373	Caramel mojito		Mojitos	L	0	0%	No	Active
0372	Lime mojito		Mojitos	L	0	0%	No	Active
0371	Plain yogurt		Ingredient	gram	0	0%	No	Active
0370	Cheese		Ingredient	kg	0	0%	No	Active
0369	Chicken legs		Chicken	kg	0	0%	No	Active
0368	Chicken breast		Chicken	kg	0	0%	No	Active
0367	Gram masala		Ingredient	gram	0	0%	No	Active
0366	Pizza boxes		Service	package	0	0%	No	Active
0365	Vanilla syrup		Mojitos	L	0	0%	No	Active
0364	Blueberry syrup		Mojitos	L	0	0%	No	Active
0363	Vimto		Ingredient	kg	0	0%	No	Active
0362	Yeast		Ingredient	package	0	0%	No	Active
0361	Cooking oil		Ingredient	L	0	0%	No	Active
0360	Condensed milk		Ingredient	package	0	0%	No	Active
0359	Turmeric		Ingredient	kg	0	0%	No	Active
0358	Curry powder		Ingredient	package	0	0%	No	Active
0357	Black pepper		Ingredient	package	0	0%	No	Active
0356	Ginger		Ingredient	package	0	0%	No	Active
0355	Baking powder		Ingredient	gram	0	0%	No	Active
0354	Tuna cans		Fish	package	0	0%	No	Active
0353	Strawberry mojito		Mojitos	L	99999999	0%	No	Active
0352	Gloves		Service	pcs	0	0%	No	Active
0351	Strawberry syrup		Ingredient	L	0	0%	No	Active
0350	Chocolate syrup		Ingredient	L	0	0%	No	Active
0349	Lotus biscoff		Ingredient	kg	0	0%	No	Active
0348	Diet sugar		Ingredient	kg	0	0%	No	Active
0347	Pure green tea		Herbal Tea	tea	0	0%	No	Active
0345	Pure hibiscus		Herbal Tea	tea	0	0%	No	Active
0344	Food color		Ingredient	package	0	0%	No	Active
0343	Sprite		Ingredient	L	0	0%	No	Active
0342	Abu walad biscuits		Ingredient	package	0	0%	No	Active
0341	Black olives		Ingredient	package	0	0%	No	Active
0340	Simsim oil		Ingredient	L	0	0%	No	Active
0339	Apples		Ingredient	pcs	0	0%	No	Active
0338	Fish masala		Ingredient	package	0	0%	Yes	Active
0337	Chicken masala		Ingredient	package	0	0%	No	Active
0336	Oreo biscuits		Ingredient	pcs	0	0%	No	Active
0335	Paprika		Ingredient	package	0	0%	No	Active
0334	potatoes		Ingredient	kg	0	0%	No	Active
0333	raw honey		Ingredient	L	0	0%	No	Active
0332	salt		Ingredient	kg	0	0%	No	Active
0331	black bag		Ingredient	package	0	0%	No	Active
0330	blue band		Ingredient	kg	0	0%	No	Active
0329	icing sugar		Ingredient	kg	0	0%	No	Active
0328	Camel Milk Ingredient		Ingredient	L	0	0%	No	Active
0327	Powdered Milk		Ingredient	gram	0	0%	No	Active
0326	Omo		Ingredient	kg	0	0%	No	Active
0325	Rice Seasoning		Ingredient	gram	0	0%	No	Active
0324	Serviettes		Ingredient	cartons	0	0%	No	Active
0323	Cooking Cream		Ingredient	gram	0	0%	No	Active
0322	Flour(Bur)		Ingredient	kg	0	0%	No	Active
0321	Black Tea Ingredient		Ingredient	package	0	0%	No	Active
0320	Chilli		Ingredient	kg	0	0%	No	Active
