0445	Faham Chicken	Chicken	plates	1	0	0.00	12.00	12.00	12.00	0%	-
0435	Chicken Finger	Chicken	plates	143	0	0.00	7.00	7.00	7.00	0%	2000-01-01
0434	Chicken Coconut	Chicken	plates	0	0	0.00	7.00	7.00	7.00	0%	-
0420	Grilled Chicken	Chicken	kg	15102	999999966	0.50	7.00	7.00	7.00	0%	2000-01-01
0411	Chicken Masala (for Sale)	Chicken	kg	15083	150	0.00	6.00	6.00	6.00	0%	-
0369	Chicken legs	Chicken	kg	7	0	60.00	0.00	0.00	0.00	0%	-
0368	Chicken breast	Chicken	kg	-1.42	0	48.39	0.00	0.00	0.00	0%	-
0197	Chicken Leg (Lug Dooro)	Chicken	pcs	50196651	0	0.60	2.00	2.00	2.00	0%	-
0192	Shawarma Chicken	Chicken	pcs	-	0	3.00	3.00	3.00	3.00	0%	-
PROD_0044	Chicken Kebab	Chicken	pcs	-	0	0.00	3.00	3.00	3.00	0%	-
PROD_0042	Chicken Broth	Chicken	pcs	-	0	0.00	2.00	2.00	2.00	0%	-
PROD_0041	Chicken Madhi	Chicken	pcs	-	0	0.00	3.00	3.00	3.00	0%	-
PROD_0040	Chicken Tikka	Chicken	pcs	-	0	0.00	3.00	3.00	3.00	0%	-
0472	Icecream shake-Mango	Classic Milk Shake	pcs	14979	3000	1.00	3.50	3.50	3.50	0%	-
PROD_0124	Vanilla	Classic Milk Shake	pcs	-	0	0.00	2.50	2.50	2.50	0%	-
PROD_0123	Strawberry	Classic Milk Shake	pcs	-	0	0.00	2.50	2.50	2.50	0%	-
PROD_0018	Chicken Mandhi	Coastal	pcs	-	0	0.00	7.00	7.00	7.00	0%	-
PROD_0017	Coconut Fish	Coastal	pcs	-	0	0.00	6.00	6.00	6.00	0%	-
PROD_0016	Samaki Wa Kupaka	Coastal	pcs	-	0	0.00	5.50	5.50	5.50	0%	-
PROD_0015	Coconut Rice	Coastal	pcs	-	0	0.00	3.00	3.00	3.00	0%	-
PROD_0014	Mutton/ Beef Pilau	Coastal	pcs	-	0	0.00	3.00	3.00	3.00	0%	-
PROD_0013	Chicken/ Mutton Biryani	Coastal	pcs	-	0	0.00	3.00	3.00	3.00	0%	-
0257	kando kando	Coffee	cup	4999952	0	0.00	1.50	1.50	1.50	0%	-
0256	ice coffee	Coffee	cup	3827	0	2.00	2.00	2.00	2.00	0%	-
0249	black coffee	Coffee	cup	99	0	0.00	1.50	1.50	1.50	0%	-
0165	latte	Coffee	cup	19717	0	1.50	1.50	1.50	1.50	0%	-
PROD_0157	Hot Chocolate	Coffee	pcs	-	0	0.00	2.00	2.00	2.00	0%	-
PROD_0156	Mochas (Caramel/Vanilla	Coffee	pcs	-	0	0.00	2.00	2.00	2.00	0%	-
PROD_0155	Affogato	Coffee	pcs	-	0	0.00	1.00	1.00	1.00	0%	-
PROD_0154	Americano	Coffee	pcs	-	0	0.00	1.50	1.50	1.50	0%	-
PROD_0153	Espresso	Coffee	pcs	-	0	0.00	1.50	1.50	1.50	0%	-
PROD_0152	Flavoured Latte (Vanilla/Caramel/Hazelnut)	Coffee	pcs	-	0	0.00	2.00	2.00	2.00	0%	-
PROD_0151	Capuchino	Coffee	pcs	-	0	0.00	1.50	1.50	1.50	0%	-
PROD_0108	Frappes	Coladas	pcs	-	0	0.00	3.00	3.00	3.00	0%	-
